Abreviatura,Expansión
Aleta,Parte lateral y posterior del casco cercana a la popa
Amura,Zona de la parte delantera del barco donde el costado se curva hacia la proa
Baluma,Borde de popa de una vela (luff=grátil / foot=pujamen / leech=baluma)
Babor,Lado izquierdo de la embarcación mirando hacia la proa
Bitas,Piezas fijas para amarrar cabos en cubierta
Bodega,Espacio interior destinado a carga o pertrechos
Boyarín,Flotador pequeño de señalización unido por cabo
Calado,Distancia vertical entre la línea de flotación y la quilla
Capear,Maniobrar el barco para aguantar temporal de proa
Carbonera,Espacio donde se almacena carbón (buques antiguos)
Cofa,Plataforma elevada en el palo usada de vigía
Compás,Instrumento de orientación magnética para rumbo
Costado,Lado del casco de la embarcación
Dragado,Acción de arrastrar ancla o aparejo por el fondo
Escora,Inclinación transversal del barco respecto a su plano vertical
Estay,Cabo o cable que sujeta el palo longitudinalmente (proa-pop)
Fondear,Echar el ancla para mantener el barco en posición
Grátil,Borde de ataque de la vela que va junto al palo o estay
Guardamancebos,Cables con candeleros que forman defensa perimetral
Jarcia,Conjunto de cabos y cables de maniobra y sujeción de los palos
Jarcia firme,Cables fijos (obenques estayes) que soportan los palos
Jarcia de labor,Cabos móviles para ajustar velas (a las escotas)
Lazo,Cabo formado en vuelta cerrado sobre sí mismo
Mamporro,Golpe fuerte de mar contra la estructura
Mascarón,Figura tallada decorativa en la proa tradicional
Mayor,Vela principal del palo mayor
Obenque,Cable lateral que sujeta el palo verticalmente
Orzar,Girar la proa hacia el viento para ceñir
Pairo,Detener la arrancada manteniendo rumbo y gobierno
Pantoque,Curva inferior entre la quilla y los costados del casco
Pico,Extremo superior posterior de la vela cangreja
Popa,Parte trasera del barco
Proa,Parte delantera del barco
Pujamen,Borde inferior de una vela
Rumbo,Dirección en grados respecto al norte (curso)
Sentina,Zona más baja del interior donde se acumulan aguas
Timonel,Persona que gobierna el timón
Trinca,Amarre fuerte para asegurar carga o pertrechos
Viento aparente,Viento resultante de la combinación del verdadero y el generado por el movimiento
Viento verdadero,Dirección y fuerza reales del viento independientemente del movimiento del barco
Virar,Cambiar de rumbo (virar por avante o en redondo)
Zafa,Acción de liberar un cabo o amarre
Eslinga,Cabo o cinta de izado para carga
Escota,Cabo que controla el ángulo de la vela respecto al viento
Halar,Tirar de un cabo para tensarlo
Abarloar,Amarrar un buque al costado de otro o a muelle
Bita,Doble poste corto en cubierta para amarre (singular de bitas)
Grillete,Pieza metálica en U con perno para unir elementos
Imbornal,Orificio en la regala para evacuar agua de cubierta
Línea de flotación,Línea que separa la parte sumergida de la emergida
Quilla,Estructura longitudinal inferior que da estabilidad y forma
Tambucho,Abertura en cubierta para acceso a interior
Torno,Cabrestante pequeño para maniobra de cabos
Vigía,Persona que observa desde altura para detectar obstáculos
